城市	类别	阶梯/类型	分档用量	单价(元)	单位	执行周期	峰谷时段/计费规则	商用物业参考价
西安	居民用电	第三阶梯	3121以上	0.7983	元/kWh	年		
西安	居民燃气	第一阶梯	0-350	2.45	元/m?	年	/	3.3-3.9元/m?
西安	居民燃气	第二阶梯	351-500	2.94	元/m?	年	/	
西安	居民燃气	第三阶梯	501以上	3.7	元/m?	年	/	
								
长沙	居民用水	第一阶梯	0-18	1.9	元/m?	月	/	3.5-4.5元/m?
长沙	居民用水	第二阶梯	19-25	2.85	元/m?	月	/	
长沙	居民用水	第三阶梯	26以上	5.7	元/m?	月	/	
长沙	居民用电	第一阶梯	0-2160	0.588	元/kWh	年	峰8:00-22:00；谷22:00-8:00 0.298	0.9-1.1元/kWh
长沙	居民用电	第二阶梯	2161-3120	0.638	元/kWh	年		
长沙	居民用电	第三阶梯	3121以上	0.888	元/kWh	年		
长沙	居民燃气	第一阶梯	0-360	2.55	元/m?	年	/	3.4-4.0元/m?
长沙	居民燃气	第二阶梯	361-600	3.06	元/m?	年	/	
长沙	居民燃气	第三阶梯	601以上	3.82	元/m?	年	/	
								
青岛	居民用水	第一阶梯	0-144	3.5	元/m?	年	/	5.0-6.0元/m?
青岛	居民用水	第二阶梯	145-200	4.9	元/m?	年	/	
青岛	居民用水	第三阶梯	201以上	6.3	元/m?	年	/	
青岛	居民用电	第一阶梯	0-2760	0.5469	元/kWh	年	峰8:00-22:00；谷22:00-8:00 0.2969	0.9-1.1元/kWh
青岛	居民用电	第二阶梯	2761-4800	0.5969	元/kWh	年		
青岛	居民用电	第三阶梯	4801以上	0.8469	元/kWh	年		
青岛	居民燃气	第一阶梯	0-300	2.8	元/m?	年	/	3.7-4.3元/m?
青岛	居民燃气	第二阶梯	301-500	3.36	元/m?	年	/	
青岛	居民燃气	第三阶梯	501以上	4.2	元/m?	年	/	
								
宁波	居民用水	第一阶梯	0-6	3.05	元/m?	月	/	4.5-5.5元/m?
宁波	居民用水	第二阶梯	7月17日	3.95	元/m?	月	/	
宁波	居民用水	第三阶梯	18-30	5.05	元/m?	月	/	
宁波	居民用水	第四阶梯	31以上	6.5	元/m?	月	/	
宁波	居民用电	第一阶梯	0-2760	0.538	元/kWh	年	峰8:00-22:00；谷22:00-8:00 0.288	0.9-1.1元/kWh
宁波	居民用电	第二阶梯	2761-4800	0.588	元/kWh	年		
宁波	居民用电	第三阶梯	4801以上	0.838	元/kWh	年		

